Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      17 |        4170 |       00:44:12 |       96.88% |       83.28% |       0.1440 |       0.7099 |      1.0000e-04 |
|      17 |        4200 |       00:44:32 |      100.00% |       83.77% |       0.0384 |       0.6072 |      1.0000e-04 |
|      17 |        4230 |       00:44:49 |       90.62% |       85.27% |       0.2082 |       0.5980 |      1.0000e-04 |
|      17 |        4250 |       00:44:56 |       93.75% |              |       0.2179 |              |      1.0000e-04 |
|      18 |        4260 |       00:45:09 |      100.00% |       82.63% |       0.0399 |       0.6491 |      1.0000e-04 |
|      18 |        4290 |       00:45:33 |      100.00% |       85.37% |       0.0364 |       0.6281 |      1.0000e-04 |
|      18 |        4300 |       00:45:39 |       96.88% |              |       0.0419 |              |      1.0000e-04 |
|      18 |        4320 |       00:45:57 |       96.88% |       84.42% |       0.1377 |       0.6285 |      1.0000e-04 |
|      18 |        4350 |       00:46:20 |       90.62% |       85.27% |       0.2257 |       0.5744 |      1.0000e-04 |
|      18 |        4380 |       00:46:44 |      100.00% |       84.37% |       0.0288 |       0.5975 |      1.0000e-04 |
|      18 |        4400 |       00:46:54 |      100.00% |              |       0.0484 |              |      1.0000e-04 |
|      18 |        4410 |       00:47:07 |      100.00% |       84.32% |       0.0396 |       0.6000 |      1.0000e-04 |
|      18 |        4440 |       00:47:25 |       96.88% |       84.77% |       0.0893 |       0.5543 |      1.0000e-04 |
|      18 |        4450 |       00:47:28 |      100.00% |              |       0.0251 |              |      1.0000e-04 |
|      18 |        4470 |       00:47:42 |       96.88% |       84.22% |       0.0474 |       0.6724 |      1.0000e-04 |
|      18 |        4500 |       00:47:58 |       93.75% |       83.67% |       0.1923 |       0.7022 |      1.0000e-04 |
|      19 |        4530 |       00:48:15 |       93.75% |       84.67% |       0.0957 |       0.6632 |      1.0000e-04 |
|      19 |        4550 |       00:48:22 |      100.00% |              |       0.0634 |              |      1.0000e-04 |
|      19 |        4560 |       00:48:32 |       96.88% |       84.57% |       0.0576 |       0.6265 |      1.0000e-04 |
|      19 |        4590 |       00:48:49 |       93.75% |       85.07% |       0.1875 |       0.6239 |      1.0000e-04 |
|      19 |        4600 |       00:48:52 |      100.00% |              |       0.0050 |              |      1.0000e-04 |
|      19 |        4620 |       00:49:05 |       93.75% |       84.17% |       0.1836 |       0.6395 |      1.0000e-04 |
|      19 |        4650 |       00:49:22 |       96.88% |       83.62% |       0.0730 |       0.7043 |      1.0000e-04 |
|      19 |        4680 |       00:49:39 |       96.88% |       85.22% |       0.2013 |       0.5892 |      1.0000e-04 |
|      19 |        4700 |       00:49:46 |       93.75% |              |       0.1704 |              |      1.0000e-04 |
|      19 |        4710 |       00:49:56 |      100.00% |       85.37% |       0.0205 |       0.6542 |      1.0000e-04 |
|      19 |        4740 |       00:50:12 |       90.62% |       84.47% |       0.1736 |       0.6094 |      1.0000e-04 |
|      19 |        4750 |       00:50:16 |       93.75% |              |       0.1644 |              |      1.0000e-04 |
|      20 |        4770 |       00:50:29 |       93.75% |       84.87% |       0.1009 |       0.5892 |      1.0000e-04 |
|      20 |        4800 |       00:50:46 |       90.62% |       84.47% |       0.1704 |       0.5855 |      1.0000e-04 |
|      20 |        4830 |       00:51:03 |      100.00% |       85.37% |       0.0127 |       0.6137 |      1.0000e-04 |
|      20 |        4850 |       00:51:09 |       96.88% |              |       0.1216 |              |      1.0000e-04 |
|      20 |        4860 |       00:51:20 |      100.00% |       85.37% |       0.0241 |       0.6121 |      1.0000e-04 |
|      20 |        4890 |       00:51:38 |       96.88% |       85.27% |       0.0353 |       0.6987 |      1.0000e-04 |
|      20 |        4900 |       00:51:42 |       96.88% |              |       0.1020 |              |      1.0000e-04 |
