Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN with Attention Mechanism...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      17 |        4080 |       01:23:26 |       87.50% |       81.58% |       0.2968 |       0.6113 |          0.0005 |
|      17 |        4100 |       01:23:37 |       90.62% |              |       0.2433 |              |          0.0005 |
|      17 |        4110 |       01:23:58 |       93.75% |       82.78% |       0.2403 |       0.6186 |          0.0005 |
|      17 |        4140 |       01:24:28 |       90.62% |       82.13% |       0.1829 |       0.5937 |          0.0005 |
|      17 |        4150 |       01:24:33 |       93.75% |              |       0.1738 |              |          0.0005 |
|      17 |        4170 |       01:24:57 |       96.88% |       82.23% |       0.1044 |       0.6300 |          0.0005 |
|      17 |        4200 |       01:25:25 |       90.62% |       82.08% |       0.2000 |       0.5966 |          0.0005 |
|      17 |        4230 |       01:25:54 |       93.75% |       82.18% |       0.1382 |       0.6361 |          0.0005 |
|      17 |        4250 |       01:26:05 |       93.75% |              |       0.2307 |              |          0.0005 |
|      18 |        4260 |       01:26:23 |       96.88% |       82.13% |       0.1240 |       0.6130 |          0.0005 |
|      18 |        4290 |       01:26:52 |       93.75% |       81.48% |       0.1610 |       0.6235 |          0.0005 |
|      18 |        4300 |       01:26:58 |      100.00% |              |       0.0551 |              |          0.0005 |
|      18 |        4320 |       01:27:22 |       96.88% |       82.53% |       0.0887 |       0.6123 |          0.0005 |
|      18 |        4350 |       01:27:53 |       87.50% |       82.38% |       0.2477 |       0.6014 |          0.0005 |
|      18 |        4380 |       01:28:36 |       93.75% |       82.43% |       0.1946 |       0.6365 |          0.0005 |
|      18 |        4400 |       01:28:48 |       84.38% |              |       0.2300 |              |          0.0005 |
|      18 |        4410 |       01:29:07 |       96.88% |       82.18% |       0.0732 |       0.6037 |          0.0005 |
|      18 |        4440 |       01:29:36 |       87.50% |       82.83% |       0.3463 |       0.6096 |          0.0005 |
|      18 |        4450 |       01:29:41 |       96.88% |              |       0.0670 |              |          0.0005 |
|      18 |        4470 |       01:30:04 |       90.62% |       82.63% |       0.2846 |       0.5946 |          0.0005 |
|      18 |        4500 |       01:30:32 |       93.75% |       82.98% |       0.1888 |       0.6138 |          0.0005 |
|      19 |        4530 |       01:30:56 |       87.50% |       81.63% |       0.3338 |       0.6202 |          0.0005 |
|      19 |        4550 |       01:31:07 |       81.25% |              |       0.4050 |              |          0.0005 |
|      19 |        4560 |       01:31:28 |       96.88% |       80.83% |       0.1396 |       0.6586 |          0.0005 |
|      19 |        4590 |       01:31:58 |      100.00% |       82.63% |       0.0306 |       0.6109 |          0.0005 |
|      19 |        4600 |       01:32:05 |      100.00% |              |       0.0588 |              |          0.0005 |
|      19 |        4620 |       01:32:32 |       90.62% |       81.78% |       0.3090 |       0.6212 |          0.0005 |
|      19 |        4650 |       01:33:01 |       96.88% |       82.93% |       0.1642 |       0.6316 |          0.0005 |
|      19 |        4680 |       01:33:30 |       93.75% |       82.43% |       0.1112 |       0.6007 |          0.0005 |
|      19 |        4700 |       01:33:40 |      100.00% |              |       0.0451 |              |          0.0005 |
|      19 |        4710 |       01:33:58 |      100.00% |       82.73% |       0.0713 |       0.5953 |          0.0005 |
|      19 |        4740 |       01:34:25 |       81.25% |       82.63% |       0.3577 |       0.6137 |          0.0005 |
|      19 |        4750 |       01:34:30 |       93.75% |              |       0.1411 |              |          0.0005 |
|      20 |        4770 |       01:34:53 |       90.62% |       82.98% |       0.2681 |       0.6288 |          0.0005 |
|      20 |        4800 |       01:35:21 |       90.62% |       82.48% |       0.3619 |       0.6368 |          0.0005 |
|      20 |        4830 |       01:35:49 |       93.75% |       82.13% |       0.2314 |       0.6265 |          0.0005 |
|      20 |        4850 |       01:36:00 |       93.75% |              |       0.1319 |              |          0.0005 |
|      20 |        4860 |       01:36:17 |       93.75% |       82.18% |       0.1253 |       0.6428 |          0.0005 |
|      20 |        4890 |       01:36:46 |       93.75% |       82.13% |       0.1251 |       0.6473 |          0.0005 |
|      20 |        4900 |       01:36:52 |       93.75% |              |       0.2827 |              |          0.0005 |
|      20 |        4920 |       01:37:16 |      100.00% |       81.98% |       0.0611 |       0.6231 |          0.0005 |
|      20 |        4950 |       01:37:45 |       96.88% |       81.93% |       0.0810 |       0.6741 |          0.0005 |
|      20 |        4980 |       01:38:13 |       90.62% |       82.38% |       0.2088 |       0.6123 |          0.0005 |
|      20 |        5000 |       01:38:24 |      100.00% |              |       0.0594 |              |          0.0005 |
|      21 |        5010 |       01:38:42 |       90.62% |       81.98% |       0.1827 |       0.6307 |          0.0003 |
|      21 |        5040 |       01:39:10 |       93.75% |       81.23% |       0.1532 |       0.6608 |          0.0003 |
|      21 |        5050 |       01:39:15 |       87.50% |              |       0.2951 |              |          0.0003 |
|      21 |        5070 |       01:39:29 |       96.88% |       83.08% |       0.0735 |       0.6199 |          0.0003 |
|      21 |        5100 |       01:39:46 |       93.75% |       82.88% |       0.1742 |       0.5946 |          0.0003 |
|      21 |        5130 |       01:40:04 |       93.75% |       82.78% |       0.1539 |       0.6390 |          0.0003 |
|      21 |        5150 |       01:40:10 |      100.00% |              |       0.0781 |              |          0.0003 |
|      21 |        5160 |       01:40:20 |      100.00% |       82.88% |       0.0577 |       0.6184 |          0.0003 |
|      21 |        5190 |       01:40:37 |       96.88% |       82.08% |       0.0854 |       0.6331 |          0.0003 |
